Total load,,
MW,,
ENTSO-E,,
date,hour,Value
14/01/2022,17,5523.75
14/01/2022,18,5458.75
14/01/2022,19,5419
14/01/2022,20,5272.5
14/01/2022,21,5101.25
14/01/2022,22,4869.25
14/01/2022,23,4601.75
15/01/2022,0,4330.75
15/01/2022,1,4168.25
15/01/2022,2,4008.75
15/01/2022,3,3933.75
15/01/2022,4,3932
15/01/2022,5,4032.5
15/01/2022,6,4280.75
15/01/2022,7,4510
15/01/2022,8,4793
15/01/2022,9,5054.25
15/01/2022,10,5120
15/01/2022,11,5106.25
15/01/2022,12,5065.25
15/01/2022,13,4974.25
15/01/2022,14,5008
15/01/2022,15,5109
15/01/2022,16,5343.25
15/01/2022,17,5435.75
15/01/2022,18,5449.5
15/01/2022,19,5421.75
15/01/2022,20,5278
15/01/2022,21,5061.5
15/01/2022,22,4796.75
15/01/2022,23,4520
16/01/2022,0,4244
16/01/2022,1,4092.75
16/01/2022,2,3926
16/01/2022,3,3897.75
16/01/2022,4,4081
16/01/2022,5,4537.25
16/01/2022,6,5412.25
16/01/2022,7,5821.25
16/01/2022,8,5985.25
16/01/2022,9,6074.75
16/01/2022,10,6131
16/01/2022,11,6198.5
16/01/2022,12,6245.25
16/01/2022,13,6171.5
16/01/2022,14,6140.75
16/01/2022,15,6161.75
16/01/2022,16,6222
16/01/2022,17,6204.5
16/01/2022,18,6100.75
16/01/2022,19,6062.5
16/01/2022,20,5873
16/01/2022,21,5648
16/01/2022,22,5379.75
16/01/2022,23,5121
17/01/2022,0,4792.5
17/01/2022,1,4582.25
17/01/2022,2,4453.75
17/01/2022,3,4397.75
17/01/2022,4,4518
17/01/2022,5,4852.25
17/01/2022,6,5596
17/01/2022,7,5944.5
17/01/2022,8,5983.75
17/01/2022,9,5766
17/01/2022,10,5502.25
17/01/2022,11,5337.25
17/01/2022,12,5446
17/01/2022,13,5583
17/01/2022,14,5843
17/01/2022,15,6026.75
17/01/2022,16,6155.25
17/01/2022,17,6178
17/01/2022,18,6136.5
17/01/2022,19,6080.75
17/01/2022,20,5890.75
